County,Year,Deaths,Population
Boone ,2004,11,25455
Cabell ,2004,20,95239
Kanawha ,2004,29,195364
Logan ,2004,14,36582
Mercer ,2004,12,61694
Raleigh ,2004,18,78428
Wyoming ,2004,11,24482
