County,Year,Deaths,Population
Berkeley,2008,19,101629
Boone,2008,11,24794
Cabell,2008,28,95209
Fayette,2008,12,46171
Kanawha,2008,54,192414
McDowell,2008,22,22494
Mercer,2008,26,61848
Mingo,2008,18,26850
Monongalia,2008,13,92200
Raleigh,2008,15,78379
Wood,2008,12,86783
Wyoming,2008,18,23957
