county,GMcoordinates,name,address,city,joinedAddress,zip
Berkeley,"-77.9061217, 39.5410241",Potomack Intermediate School,5308 Williamsport Pike,Martinsburg,"5308 Williamsport Pike , Martinsburg, WV, 25404",25404
Berkeley,"-77.91696879999999, 39.52595780000001",Bedington Elementary School,149 Bedington Road,Martinsburg,"149 Bedington Road , Martinsburg, WV, 25404",25404
Jefferson,"-77.9307367, 39.2540896",South Jefferson Elementary School,4599 Summit Point Road,Charles Town,"4599 Summit Point Road , Charles Town, WV, 25414",25414
Berkeley,"-77.94528, 39.472123",Opequon Elementary School,395 East Road,Martinsburg,"395 East Road , Martinsburg, WV, 25404",25404
Berkeley,"-77.94692599999999, 39.481384",Eagle School Intermediate,730 Eagle School Road,Martinsburg,"730 Eagle School Road , Martinsburg, WV, 25404",25404
Berkeley,"-77.949767, 39.471956",Martinsburg North Middle School,250 East Road,Martinsburg,"250 East Road , Martinsburg, WV, 25404",25404
Berkeley,"-77.96564900000001, 39.444722",Berkeley Heights Elementary School,726 Hack Wilson Way,Martinsburg,"726 Hack Wilson Way , Martinsburg, WV, 25401",25401
Berkeley,"-77.9680652, 39.4585893",Burke Street Elementary School,422 West Burke Street,Martinsburg,"422 West Burke Street , Martinsburg, WV, 25401",25401
Berkeley,"-77.9684319, 39.4480153",Martinsburg High School,701 South Queen Street,Martinsburg,"701 South Queen Street , Martinsburg, WV, 25401",25401
Berkeley,"-77.9690619, 39.449668",Martinsburg South Middle School,150 Bulldog Boulevard,Martinsburg,"150 Bulldog Boulevard , Martinsburg, WV, 25401",25401
Berkeley,"-77.97516159999999, 39.47693",Tuscarora Elementary School,2000 Tavern Road,Martinsburg,"2000 Tavern Road , Martinsburg, WV, 25401",25401
Berkeley,"-77.9756049, 39.4522398",Winchester Avenue Elementary School,650 Winchester Avenue,Martinsburg,"650 Winchester Avenue , Martinsburg, WV, 25401",25401
Berkeley,"-77.9790623, 39.5327798",James Rumsey Technical Institute,3274 Hedgesville Road,Martinsburg,"3274 Hedgesville Road , Martinsburg, WV, 25403",25403
Berkeley,"-77.981876, 39.459074",Rosemont Elementary School,301 South Alabama Avenue,Martinsburg,"301 South Alabama Avenue , Martinsburg, WV, 25401",25401
Berkeley,"-77.982083, 39.53749",Hedgesville High School,109 Ridge Road North,Hedgesville,"109 Ridge Road North , Hedgesville, WV, 25427",25427
Berkeley,"-77.9907273, 39.5559444",Hedgesville Middle School,334 School House Drive,Hedgesville,"334 School House Drive , Hedgesville, WV, 25427",25427
Berkeley,"-77.9909057, 39.5521408",Hedgesville Elementary School,88 School House Drive,Hedgesville,"88 School House Drive , Hedgesville, WV, 25427",25427
Berkeley,"-77.992766, 39.40784499999999",Pikeside Learning Center,3635 Winchester Ave,Martinsburg,"3635 Winchester Ave , Martinsburg, WV, 25405",25405
Berkeley,"-78.003641, 39.454135",Orchard View Intermediate School,1455 Delmar Orchard Rd,Martinsburg,"1455 Delmar Orchard Rd , Martinsburg, WV, 25403",25403
Berkeley,"-78.013966, 39.382314",Valley View Elementary School,140 Nadenbousch Lane,Martinsburg,"140 Nadenbousch Lane , Martinsburg, WV, 25405",25405
Berkeley,"-78.021008, 39.553755",Tomahawk Intermediate School,6665 Hedgesville Road,Hedgesville,"6665 Hedgesville Road , Hedgesville, WV, 25427",25427
Berkeley,"-78.03947029999999, 39.3587175",Inwood Primary School,7864 Winchester Ave,Inwood,"7864 Winchester Ave , Inwood, WV, 25428",25428
Berkeley,"-78.04147669999999, 39.3518554",Musselman High School,126 Excellence Way,Inwood,"126 Excellence Way , Inwood, WV, 25428",25428
Berkeley,"-78.046363, 39.3470439",Mill Creek Intermediate School,8785 Winchester Avenue,Bunker Hill,"8785 Winchester Avenue , Bunker Hill, WV, 25413",25413
Berkeley,"-78.049437, 39.347733",Musselman Middle School,105 Pride Avenue,Bunker Hill,"105 Pride Avenue , Bunker Hill, WV, 25413",25413
Berkeley,"-78.05763, 39.321487",Bunker Hill Elementary School,58 Happy School Avenue,Bunker Hill,"58 Happy School Avenue , Bunker Hill, WV, 25413",25413
Berkeley,"-78.0795452, 39.3680257",Mountain Ridge Intermediate,2691 Gerrardstown Road,Gerrardstown,"2691 Gerrardstown Road , Gerrardstown, WV, 25420",25420
Berkeley,"-78.0801529, 39.3663866",Mountain Ridge Middle School,2771 Gerrardstown Road,Gerrardstown,"2771 Gerrardstown Road, Gerrardstown, WV, 25420",25420
Morgan,"-78.08067600000001, 39.609071",Pleasant View Elementary School,10500 Martinsburg Road,Hedgesville,"10500 Martinsburg Road , Hedgesville, WV, 25427",25427
Berkeley,"-78.093987, 39.37188099999999",Gerrardstown Elementary School,15 Dominion Road,Gerrardstown,"15 Dominion Road , Gerrardstown, WV, 25420",25420
Berkeley,"-78.148207, 39.406958",Back Creek Valley Elementary School,1962 Back Creek Valley Road,Hedgesville,"1962 Back Creek Valley Road , Hedgesville, WV, 25427",25427
Morgan,"-78.2021278, 39.6325933",Warm Springs Intermediate School,575 Warm Springs Way,Berkeley Springs,"575 Warm Springs Way , Berkeley Springs, WV, 25411",25411
Morgan,"-78.205422, 39.6290323",Warm Springs Middle School,271 Warm Springs Way,Berkeley Springs,"271 Warm Springs Way , Berkeley Springs, WV, 25411",25411
Morgan,"-78.2215512, 39.4823331",Greenwood Elementary School,8989 Winchester Grade Road,Berkeley Springs,"8989 Winchester Grade Road , Berkeley Springs, WV, 25411",25411
Morgan,"-78.2337718, 39.6169959",Berkeley Springs High School,149 Concord Avenue,Berkeley Springs,"149 Concord Avenue , Berkeley Springs, WV, 25411",25411
Morgan,"-78.2363115, 39.6138121",Widmyer Elementary,10 Myers Road,Berkeley Springs,"10 Myers Road , Berkeley Springs, WV, 25411",25411
Morgan,"-78.4543655, 39.527622",Paw Paw High School,60 Pirate Circle,Paw Paw,"60 Pirate Circle , Paw Paw, WV, 25434",25434
Morgan,"-78.4543655, 39.527622",Paw Paw Elementary School,60 Pirate Circle,Paw Paw,"60 Pirate Circle , Paw Paw, WV, 25434",25434
Hampshire,"-78.52633050000001, 39.4281739",Slanesville Elementary School,P.o. Box 308,Slanesville,"P.o. Box 308 , Slanesville, WV, 25444",25444
Hampshire,"-78.6391041, 39.29524079999999",Augusta Elementary School,Po Box 910,Augusta,"Po Box 910 , Augusta, WV, 26704",26704
Hampshire,"-78.746453, 39.335391",Romney Middle School,"Hc 63, Box 1975",Romney,"Hc 63, Box 1975 , Romney, WV, 26757",26757
Mineral,"-78.7561222, 39.61679609999999",Wiley Ford Primary School,PO Box 20,Wiley Ford,"PO Box 20 , Wiley Ford, WV, 26767",26767
Mineral,"-78.75754239999999, 39.508279",Frankfort Intermediate School,284 Intermediate Drive,Fort Ashby,"284 Intermediate Drive, Fort Ashby, WV, 26719",26719
Hardy,"-78.758904, 39.048115",East Hardy Early/Middle School,P. O. Box 260 238 Cougar Drive,Baker,"P. O. Box 260 238 Cougar Drive, Baker, WV, 26801",26801
Hardy,"-78.7606382, 39.0473439",East Hardy High School,P. O. Box 120 259 Cougar Drive,Baker,"P. O. Box 120 259 Cougar Drive, Baker, WV, 26801",26801
Mineral,"-78.7645086, 39.5052093",Fort Ashby Primary School,44 Fort Ashby Primary School Road,Ft. Ashby,"44 Fort Ashby Primary School Road, Ft. Ashby, WV, 26719",26719
Hampshire,"-78.76463820000001, 39.3435028",Romney Elementary School,45 School Street,Romney,"45 School Street , Romney, WV, 26757",26757
Mineral,"-78.8032197, 39.5477384",Frankfort High School,393 Falcon Way,Ridgeley,"393 Falcon Way, Ridgeley, WV, 26753",26753
Mineral,"-78.8038712, 39.5409756",Frankfort Middle School,356 Golden Drive,Ridgeley,"356 Golden Drive, Ridgeley, WV, 26753",26753
Mineral,"-78.91971319999999, 39.3343491",Burlington Primary,10474 Patterson Creek Road,Burlington,"10474 Patterson Creek Road, Burlington, WV, 26710",26710
Mineral,"-78.9375829, 39.4222667",Fountain Primary School,289 Fountain School Road,Keyser,"289 Fountain School Road, Keyser, WV, 26726",26726
Hardy,"-78.9437178, 39.06905709999999",Moorefield Intermediate School,345 Caledonia Heights Road,Moorefield,"345 Caledonia Heights Road , Moorefield, WV, 26836",26836
Hardy,"-78.9437178, 39.06905709999999",Moorefield Middle School,303 Caledonia Heights Road,Moorefield,"303 Caledonia Heights Road , Moorefield, WV, 26836",26836
Hardy,"-78.9688414, 39.0678067",Moorefield High School,401 North Main Street,Moorefield,"401 North Main Street , Moorefield, WV, 26836",26836
Hardy,"-78.97308819999999, 39.0533213",Moorefield Elementary School,400 North Main Street,Moorefield,"400 North Main Street , Moorefield, WV, 26836",26836
Mineral,"-78.98466289999999, 39.4302781",Mineral County Technical Center,981 Harley O. Staggers Drive,Keyser,"981 Harley O. Staggers Drive , Keyser, WV, 26726",26726
Mineral,"-78.98466289999999, 39.4302781",Keyser Middle School,879 Harley O. Staggers Drive,Keyser,"879 Harley O. Staggers Drive , Keyser, WV, 26726",26726
Mineral,"-78.9905764, 39.4244634",Keyser Primary School,1123 Harley O. Staggers Drive,Keyser,"1123 Harley O. Staggers Drive, Keyser, WV, 26726",26726
Mineral,"-78.9906196, 39.4297575",Mineral County Alternative School,89 Baker Place,Keyser,"89 Baker Place, Keyser, WV, 26726",26726
Mineral,"-79.0213966, 39.3996909",Keyser High School,328 One Tornado Way,Keyser,"328 One Tornado Way, Keyser, WV, 26726",26726
Mineral,"-79.0284095, 39.374188",New Creek Primary School,"PO Box 97, 85 New Creek School Road",New Creek,"PO Box 97, 85 New Creek School Road, New Creek, WV, 26743",26743
Grant,"-79.1059444, 38.9395833",Dorcas Elementary School,Hc 33 Box 1060,Petersburg,"Hc 33 Box 1060 , Petersburg, WV, 26847",26847
Grant,"-79.1164019, 39.0013999",Petersburg Elementary School,333 Rig Street,Petersburg,"333 Rig Street , Petersburg, WV, 26847",26847
Grant,"-79.12039899999999, 39.000801",South Branch Career & Technical Center,401 Pierpont Street,Petersburg,"401 Pierpont Street , Petersburg, WV, 26847",26847
Grant,"-79.12042559999999, 38.9981669",Petersburg High School,207 Jefferson Avenue,Petersburg,"207 Jefferson Avenue , Petersburg, WV, 26847",26847
Mineral,"-79.1522566, 39.3809314",Elk Garden School,86 Elk Garden Highway,Elk Garden,"86 Elk Garden Highway, Elk Garden, WV, 26717",26717
Grant,"-79.1780876, 39.1226596",Maysville Elementary School,7147 Highway 42s,Maysville,"7147 Highway 42s , Maysville, WV, 26833",26833
Pendleton,"-79.243922, 38.627775",Brandywine Elementary School,11480 Blue Gray Trail P. O. Box 247,Brandywine,"11480 Blue Gray Trail P. O. Box 247, Brandywine, WV, 26802",26802
Pendleton,"-79.326016, 38.6507309",Pendleton County Middle/High School,Po Box 40 409 Maple Avenue,Franklin,"Po Box 40 409 Maple Avenue, Franklin, WV, 26807",26807
Pendleton,"-79.3287455, 38.6456983",Franklin Elementary School,67 South Branch Street Po Box 848,Franklin,"67 South Branch Street Po Box 848, Franklin, WV, 26807",26807
Pendleton,"-79.49135439999999, 38.6723225",North Fork Elementary School,"Po Box 186, 189 Price Way",Circleville,"Po Box 186, 189 Price Way, Circleville, WV, 26804",26804
Tucker,"-79.4947356, 39.1432333",Davis Thomas Elementary Middle School,100 Quail Ridge Rd Po Box 250,Thomas,"100 Quail Ridge Rd Po Box 250, Thomas, WV, 26292",26292
Preston,"-79.535485, 39.443038",Terra Alta/East Preston School,1103 East State Avenue,Terra Alta,"1103 East State Avenue , Terra Alta, WV, 26764",26764
Preston,"-79.55032299999999, 39.323677",Aurora Elementary,125 Aurora School Road,Aurora,"125 Aurora School Road , Aurora, WV, 26705",26705
Tucker,"-79.58325789999999, 39.137539",Tucker County High School,116 Mountain Lion Way,Hambleton,"116 Mountain Lion Way , Hambleton, WV, 26269",26269
Preston,"-79.64117300000001, 39.657253",Bruceton School,P.o. Box 141 141 Morgantown Street,Bruceton Mills,"P.o. Box 141 141 Morgantown Street, Bruceton Mills, WV, 26525",26525
Tucker,"-79.6691316, 39.1022965",Tucker Valley Elementary Middle School,81 Tucker Valley Road,Hambleton,"81 Tucker Valley Road , Hambleton, WV, 26269",26269
Preston,"-79.677836, 39.460035",Central Preston Middle School,500 Knight Drive,Kingwood,"500 Knight Drive , Kingwood, WV, 26537",26537
Preston,"-79.67795600000001, 39.46012",Preston High School,400 Knight Drive,Kingwood,"400 Knight Drive , Kingwood, WV, 26537",26537
Preston,"-79.68640309999999, 39.35596839999999",Rowlesburg School,46 Center Street,Rowlesburg,"46 Center Street , Rowlesburg, WV, 26425",26425
Preston,"-79.68647299999999, 39.4686049",Kingwood Elementary,207 S Price Street,Kingwood,"207 S Price Street , Kingwood, WV, 26537",26537
Preston,"-79.7716918, 39.3807731",South Preston School,5258 South Preston Highway,Tunnelton,"5258 South Preston Highway, Tunnelton, WV, 26444",26444
Preston,"-79.8118142, 39.496727",West Preston School,113 Eby School Road,Arthurdale,"113 Eby School Road, Arthurdale, WV, 26520",26520
Preston,"-79.82287, 39.329611",Fellowsville Elementary,139 Fellowsville School Rd,Tunnelton,"139 Fellowsville School Rd , Tunnelton, WV, 26444",26444
Randolph,"-79.8479268, 38.8913564",Midland Elementary School,150 Kennedy Drive,Elkins,"150 Kennedy Drive , Elkins, WV, 26241",26241
Randolph,"-79.8479268, 38.8913564",Elkins High School,100 Kennedy Drive,Elkins,"100 Kennedy Drive , Elkins, WV, 26241",26241
Randolph,"-79.8517502, 38.9194273",Randolph County Alternative Center,40 11th Street,Elkins,"40 11th Street , Elkins, WV, 26241",26241
Randolph,"-79.8526851, 38.9431518",Randolph Technical Center,200 Kennedy Drive,Elkins,"200 Kennedy Drive , Elkins, WV, 26241",26241
Randolph,"-79.8600443, 38.9131621",Jennings Randolph Elementary School,101 Scott Ford Road,Elkins,"101 Scott Ford Road , Elkins, WV, 26241",26241
Randolph,"-79.8634874, 38.92719690000001",Elkins Middle School,308 Robert E. Lee Avenue,Elkins,"308 Robert E. Lee Avenue , Elkins, WV, 26241",26241
Randolph,"-79.8665769, 38.9336861",Elkins Third Ward Elementary School,111 Nathan Street,Elkins,"111 Nathan Street , Elkins, WV, 26241",26241
Monongalia,"-79.8681733, 39.6529937",Cheat Lake Elementary School,154 Crosby Road,Morgantown,"154 Crosby Road , Morgantown, WV, 26508",26508
Randolph,"-79.8990273, 38.7965659",Homestead Elementary School,P.o. Box 158,Dailey,"P.o. Box 158 , Dailey, WV, 26259",26259
Monongalia,"-79.9050144, 39.6102152",Brookhaven Elementary School,1215 Baker Street,Morgantown,"1215 Baker Street , Morgantown, WV, 26508",26508
Monongalia,"-79.9286664, 39.6878374",University High School,131 Baker`s Ridge Road,Morgantown,"131 Baker`s Ridge Road , Morgantown, WV, 26508",26508
Monongalia,"-79.9395488, 39.6539836",Eastwood Elementary School,677 201 St. Memorial Hwy,Morgantown,"677 201 St. Memorial Hwy, Morgantown, WV, 26505",26505
Monongalia,"-79.9403896, 39.5505097",Ridgedale Elementary School,1550 Goshen Road,Morgantown,"1550 Goshen Road , Morgantown, WV, 26508",26508
Monongalia,"-79.94335199999999, 39.610532",Mountainview Elementary School,661 Greenbag Road,Morgantown,"661 Greenbag Road , Morgantown, WV, 26508",26508
Monongalia,"-79.9464634, 39.6376357",Mountaineer Middle School,991 Price Street,Morgantown,"991 Price Street , Morgantown, WV, 26505",26505
Monongalia,"-79.9550977, 39.612582",South Middle School,500 East Parkway Drive,Morgantown,"500 East Parkway Drive , Morgantown, WV, 26501",26501
Barbour,"-79.956704, 38.97761",Junior Elementary,415 First Street,Junior,"415 First Street , Junior, WV, 26275",26275
Monongalia,"-79.9568398, 39.657972",North Elementary School,825 Chestnut Ridge Road,Morgantown,"825 Chestnut Ridge Road , Morgantown, WV, 26505",26505
Monongalia,"-79.9568666, 39.6239373",Morgantown High School,109 Wilson Avenue,Morgantown,"109 Wilson Avenue , Morgantown, WV, 26501",26501
Randolph,"-79.9571776, 38.7535686",Tygarts Valley Middle/High School,10189 Seneca Trail,Mill Creek,"10189 Seneca Trail, Mill Creek, WV, 26280",26280
Monongalia,"-79.9572338, 39.61121809999999",Technical Education Center,1000 Mississippi Street,Morgantown,"1000 Mississippi Street , Morgantown, WV, 26501",26501
Randolph,"-79.970507, 38.7290538",George Ward Elementary School,P.o. Box 278,Mill Creek,"P.o. Box 278 , Mill Creek, WV, 26280",26280
Monongalia,"-79.971042, 39.65255399999999",Suncrest Middle School,360 Baldwin Street,Morgantown,"360 Baldwin Street , Morgantown, WV, 26505",26505
Monongalia,"-79.97686709999999, 39.6599771",Suncrest Primary,523 Junior Avenue,Morgantown,"523 Junior Avenue , Morgantown, WV, 26505",26505
Monongalia,"-79.978433, 39.618401",Westwood Middle School,670 River Road,Morgantown,"670 River Road , Morgantown, WV, 26501",26501
Monongalia,"-79.98163699999999, 39.617116",Skyview Elementary School,668 River Road,Morgantown,"668 River Road , Morgantown, WV, 26501",26501
Barbour,"-79.99286359999999, 39.1090421",Philip Barbour High School Complex,99 Horseshoe Drive,Philippi,"99 Horseshoe Drive , Philippi, WV, 26416",26416
Barbour,"-79.994379, 39.1097589",Belington Head Start,25 Horseshoe Drive,Philippi,"25 Horseshoe Drive , Philippi, WV, 26416",26416
Taylor,"-80.0189517, 39.3474382",Anna Jarvis Elementary School,650 N. Pike Street,Grafton,"650 N. Pike Street , Grafton, WV, 26354",26354
Monongalia,"-80.03017559999999, 39.6424999",Mylan Park Elementary School,901 Mylan Park Lane,Morgantown,"901 Mylan Park Lane , Morgantown, WV, 26501",26501
Taylor,"-80.0307385, 39.3395637",Grafton High School,400 Riverside Drive,Grafton,"400 Riverside Drive , Grafton, WV, 26354",26354
Taylor,"-80.033484, 39.3380085",Taylor County Vocational Center,115 Luby St,Grafton,"115 Luby St , Grafton, WV, 26354",26354
Barbour,"-80.0402579, 39.1452617",Philippi Head Start,Chestnut Street,Philippi,"Chestnut Street , Philippi, WV, 26416",26416
Barbour,"-80.0403578, 39.1523198",Philippi Middle School,Rt 3 Box 40,Philippi,"Rt 3 Box 40 , Philippi, WV, 26416",26416
Barbour,"-80.0403578, 39.1523198",Philippi Elementary School,Route 3 Box 38,Philippi,"Route 3 Box 38 , Philippi, WV, 26416",26416
Pocahontas,"-80.09247049999999, 38.2209011",Marlinton Elementary School,926a Fifth Avenue,Marlinton,"926a Fifth Avenue , Marlinton, WV, 24954",24954
Marion,"-80.09589489999999, 39.49327419999999",East Dale Elementary School,Rt.3 57 East Dale Road,Fairmont,"Rt.3 57 East Dale Road , Fairmont, WV, 26554",26554
Taylor,"-80.118652, 39.266854",Flemington Elementary School,824 Simpson Rd,Flemington,"824 Simpson Rd, Flemington, WV, 26347",26347
Marion,"-80.1218779, 39.4815002",East Park Elementary School,1025 Fairfax Street,Fairmont,"1025 Fairfax Street , Fairmont, WV, 26554",26554
Marion,"-80.12819209999999, 39.5317529",Rivesville Elementary/Middle School,229 Phillips Avenue,Rivesville,"229 Phillips Avenue , Rivesville, WV, 26588",26588
Marion,"-80.13091759999999, 39.480476",East Fairmont Middle School,221 Mason Street,Fairmont,"221 Mason Street, Fairmont, WV, 26554",26554
Marion,"-80.137014, 39.5011709",Barnes Learning Center (Alc),100 Naomi Street,Fairmont,"100 Naomi Street , Fairmont, WV, 26554",26554
Marion,"-80.144477, 39.459",Pleasant Valley Elementary School,1858 Valley School Road,Pleasant Valley,"1858 Valley School Road , Pleasant Valley, WV, 26554",26554
Marion,"-80.1506868, 39.4700756",West Fairmont Middle School,1010 Tenth Street,Fairmont,"1010 Tenth Street , Fairmont, WV, 26554",26554
Taylor,"-80.153335, 39.322542",West Taylor Elementary School,200 Morrow Cross Rd,Flemington,"200 Morrow Cross Rd, Flemington, WV, 26347",26347
Marion,"-80.1542276, 39.4837654",Marion Co Adult And Community Ed Center,601 Locust Ave.,Fairmont,"601 Locust Ave. , Fairmont, WV, 26554",26554
Marion,"-80.15646459999999, 39.451003",East Fairmont High School,1993 Airport Road,Fairmont,"1993 Airport Road , Fairmont, WV, 26554",26554
Marion,"-80.1571422, 39.4789039",Fairmont Senior High School,Loop Park Drive,Fairmont,"Loop Park Drive , Fairmont, WV, 26554",26554
Marion,"-80.1666678, 39.4620476",Watson Elementary School,1579 Mary Lou Retton Dr,Fairmont,"1579 Mary Lou Retton Dr , Fairmont, WV, 26554",26554
Marion,"-80.167157, 39.5042556",Barrackville Elementary/Middle School,P O Box 150 509 Pike Street,Barrackville,"P O Box 150 509 Pike Street, Barrackville, WV, 26559",26559
Upshur,"-80.1727422, 38.9711452",Union Elementary School,20 Heavener Grove Road,Buckhannon,"20 Heavener Grove Road , Buckhannon, WV, 26201",26201
Marion,"-80.1767826, 39.4189844",White Hall Elementary School,38 Emerald Lane,White Hall,"38 Emerald Lane , White Hall, WV, 26554",26554
Marion,"-80.1769405, 39.4730426",Jayenne Elementary School,1504 Country Club Road,Fairmont,"1504 Country Club Road , Fairmont, WV, 26554",26554
Randolph,"-80.21465239999999, 38.6495602",Pickens Elementary/High School,One Panther Place,Pickens,"One Panther Place , Pickens, WV, 26230",26230
Marion,"-80.2178929, 39.4619286",Monongah Middle School,550 Camden Avenue,Monongah,"550 Camden Avenue , Monongah, WV, 26554",26554
Marion,"-80.221461, 39.4636691",Monongah Elementary School,628 Walnut Street,Monongah,"628 Walnut Street , Monongah, WV, 26554",26554
Monongalia,"-80.2235649, 39.71975399999999",Clay-Battelle High School,Drawer A,Blacksville,"Drawer A , Blacksville, WV, 26521",26521
Upshur,"-80.2248877, 38.9867716",Buckhannon Academy Elementary School,16 College Avenue,Buckhannon,"16 College Avenue , Buckhannon, WV, 26201",26201
Upshur,"-80.23098209999999, 38.9721996",Tennerton Elementary,"Route 6, Box 513",Buckhannon,"Route 6, Box 513 , Buckhannon, WV, 26201",26201
Upshur,"-80.2312688, 38.9708209",B-U Middle School,"Rt. 6, Box 303",Buckhannon,"Rt. 6, Box 303 , Buckhannon, WV, 26201",26201
Randolph,"-80.2320276, 38.9939872",North Elementary School,"Route 2, Box 320",Elkins,"Route 2, Box 320 , Elkins, WV, 26241",26241
Upshur,"-80.243167, 38.95117580000001",Buckhannon Upshur High School,50 B.u. Drive,Buckhannon,"50 B.u. Drive , Buckhannon, WV, 26201",26201
Marion,"-80.2470452, 39.5933829",Fairview Elementary School,Po Box 39 100 School Street,Fairview,"Po Box 39 100 School Street, Fairview, WV, 26570",26570
Harrison,"-80.2522571, 39.2860172",Simpson Elementary School,250 Worthington Dr,Bridgeport,"250 Worthington Dr , Bridgeport, WV, 26330",26330
Marion,"-80.2527099, 39.592258",Fairview Middle School,17 Jesses Run Road,Fairview,"17 Jesses Run Road , Fairview, WV, 26570",26570
Monongalia,"-80.25351789999999, 39.7101137",Mason-Dixon Elementary,7041 Mason Dixon Highway,Blacksville,"7041 Mason Dixon Highway , Blacksville, WV, 26521",26521
Harrison,"-80.2620134, 39.2882846",Bridgeport Middle School,413 Johnson Ave,Bridgeport,"413 Johnson Ave , Bridgeport, WV, 26330",26330
Harrison,"-80.263604, 39.2909507",Johnson Elementary School,531 Johnson Ave,Bridgeport,"531 Johnson Ave , Bridgeport, WV, 26330",26330
Harrison,"-80.2636684, 39.2897899",Bridgeport High School,515 Johnson Ave,Bridgeport,"515 Johnson Ave , Bridgeport, WV, 26330",26330
Harrison,"-80.28544169999999, 39.4043252",Big Elm Elementary School,200 Tetrick Rd,Shinnston,"200 Tetrick Rd , Shinnston, WV, 26431",26431
Upshur,"-80.290577, 38.8909929",French Creek Elementary,"Rt.2, Box 305",French Creek,"Rt.2, Box 305 , French Creek, WV, 26218",26218
Greenbrier,"-80.2952394, 37.7946857",White Sulphur Elementary,150 Reed Street,White Sulphur Springs,"150 Reed Street , White Sulphur Springs, WV, 24986",24986
Marion,"-80.3000291, 39.5117126",Marion County Technical Center,2 North Marion Drive Route 250 North,Farmington,"2 North Marion Drive Route 250 North, Farmington, WV, 26571",26571
Marion,"-80.30161199999999, 39.512022",North Marion High School,1 North Marion Drive,Farmington,"1 North Marion Drive , Farmington, WV, 26571",26571
Harrison,"-80.3160369, 39.2500377",Norwood Elementary School,208 Kidd Ave,Stonewood,"208 Kidd Ave , Stonewood, WV, 26301",26301
Marion,"-80.321513, 39.522108",Blackshere Elementary School,77 Blackshere Drive,Mannington,"77 Blackshere Drive , Mannington, WV, 26582",26582
Harrison,"-80.3256627, 39.2599393",Nutter Fort Intermediate School,1302 Buckhannon Pike,Nutter Fort,"1302 Buckhannon Pike , Nutter Fort, WV, 26301",26301
