Library,address,GMcoordinates
Hanover Public Library,"PO Box 9 Hanover, WV 24839-0660","-81.789164, 37.555682"
Hardy County Public Library,"102 N. Main St. Moorefield, WV 26836-1129","-78.97003099999999, 39.0622697"
Hedgesville Public Library,"207 North Mary St. Hedgesville, WV 25427","-77.9939835, 39.5544132"
Helvetia Public Library,"PO Box 15 Helvetia, WV 26224","-80.1484407, 38.73307399999999"
Hillsboro Public Library,"PO Box 132 Hillsboro, WV 24946","-80.2990246, 38.2302069"
Hundred Public Library,"PO Box 453 Hundred, WV 26575-0453","-80.455716, 39.678493"
Hurricane Public Library,"410 Midland Trail Hurricane, WV 25526-1632","-82.0194904, 38.4289972"
Iaeger Public Library,"PO Box 149 Iaeger, WV 24844-0006","-81.803301, 37.447602"
Jackson County Public Library – Ravenswood,"323 Virginia St. Ravenswood, WV 26164-1734","-81.7608509, 38.9503272"
Jackson County Public Library – Ripley,"208 N. Church St. Ripley, WV 25271-1204","-81.7107506, 38.8199698"
Kanawha County Public Library,"123 Capitol St. Charleston, WV 25301-2686","-81.6355576, 38.3499756"
Kermit Public Library,"PO Box 272 Kermit, WV 25674-9999","-82.408356, 37.844424"
Keyser-Mineral County Public Library,"105 N. Main St. Keyser, WV 26726-3218","-78.9745032, 39.44028369999999"
Kingwood Public Library,"205 W. Main St. Kingwood, WV 26537-1418","-79.68998119999999, 39.471791"
Linwood Public Library,"72 Snowshoe Drive Slaty Fork, WV 26291","-80.036925, 38.415493"
Logan Area Public Library,"16 Wildcat Way Logan, WV 25601-3474","-81.99596369999999, 37.85004929999999"
Louis Bennett Public Library,"148 Court Ave. Weston, WV 26452-1968","-80.46522, 39.036496"
Lowe Public Library,"40 Bridge St. Shinnston, WV 26431-9610","-80.30083119999999, 39.396428"
Lynn Murray Memorial Library,"601 Railroad St. Chester, WV 26034-1396","-80.560675, 40.615537"
Mannington Public Library,"109 Clarksburg St. Mannington, WV 26582-0348","-80.344414, 39.529784"
