county,name,address,city,zip,joinedAddress,GMcoordinates
Berkeley,Hedgesville Middle School,334 School House Drive ,Hedgesville,25427,"334 School House Drive , Hedgesville, WV, 25427","-77.9907273, 39.5559444"
Boone,Sherman High School,10008 Coal River Road Po Box Ab,Seth,25181,"10008 Coal River Road Po Box Ab, Seth, WV, 25181","-81.62169460000001, 38.1143459"
Boone,Jeffrey-Spencer Elementary,3277 Hewett Creek Road Po Box 319,Hewett,25108,"3277 Hewett Creek Road Po Box 319, Hewett, WV, 25108","-81.8469301, 37.9641221"
Boone,Sherman Junior High School,9846 Coal River Road Po Box Aa,Seth,25181,"9846 Coal River Road Po Box Aa, Seth, WV, 25181",
Boone,Whitesville Elementary School,"37949 Coal River Road Hc82, Box 265",Whitesville,25209,"37949 Coal River Road Hc82, Box 265, Whitesville, WV, 25209",
Boone,Brookview Elementary,1 Learning Way ,Foster,25081,"1 Learning Way , Foster, WV, 25081","-81.8257659, 38.1043071"
Boone,Wharton Elementary,36071 Pond Fork Road Po Box 60,Wharton,25208,"36071 Pond Fork Road Po Box 60, Wharton, WV, 25208","-81.6723184, 37.8954448"
Boone,Ramage Elementary,"15908 Spruce River Road Rt 1, Box 293",Danville,25053,"15908 Spruce River Road Rt 1, Box 293, Danville, WV, 25053",
Boone,Van Junior/Senior High School,913 Van High School Road Po Box 100,Van,25206,"913 Van High School Road Po Box 100, Van, WV, 25206","-81.71336749999999, 37.9718766"
Boone,Madison Elementary,150 Josephine Avenue ,Madison,25130,"150 Josephine Avenue , Madison, WV, 25130","-81.8164446, 38.0628103"
Boone,Scott High School,1 Skyhawk Place ,Madison,25130,"1 Skyhawk Place , Madison, WV, 25130","-81.8331248, 38.0742221"
Boone,Ashford-Rumble Elementary,1649 Ashford Nellis Road ,Ashford,25009,"1649 Ashford Nellis Road , Ashford, WV, 25009","-81.70038679999999, 38.1837243"
Boone,Madison Middle School,404 Riverside Dr-W ,Madison,25130,"404 Riverside Dr-W , Madison, WV, 25130","-81.82732709999999, 38.0723384"
Boone,Sherman Elementary School,7487 Coal River Road Po Box 369,Comfort,25049,"7487 Coal River Road Po Box 369, Comfort, WV, 25049","-81.6141415, 38.1303013"
Boone,Van Elementary,338 Van High School Road Po Box 360,Van,25206,"338 Van High School Road Po Box 360, Van, WV, 25206","-81.7139301, 37.97191960000001"
Boone,Boone Career-Technical Center,"3505 Daniel Boone Pkwy-Suite B Hc81, Box 50-B",Danville,25053,"3505 Daniel Boone Pkwy-Suite B Hc81, Box 50-B, Danville, WV, 25053",
Boone,Nellis Elementary,"179 Memorial Drive,1 School St Box 135",Nellis,25142,"179 Memorial Drive,1 School St Box 135, Nellis, WV, 25142",
Braxton,Braxton County Middle School,100 Carter Braxton Drive ,Sutton,26601,"100 Carter Braxton Drive , Sutton, WV, 26601","-80.6636461, 38.6945697"
Braxton,Little Birch Elementary School,55 Little Birch Road,Sutton,26601,"55 Little Birch Road, Sutton, WV, 26601","-80.710011, 38.579581"
Braxton,Flatwoods Elementary School,Po Box 130 ,Flatwoods,26621,"Po Box 130 , Flatwoods, WV, 26621","-80.6529971, 38.7216606"
Braxton,Burnsville Elementary School,Po Box 35 228 Kanawha Ave,Burnsville,26335,"Po Box 35 228 Kanawha Ave, Burnsville, WV, 26335","-80.65688209999999, 38.8588926"
Braxton,Braxton County High School,200 Jerry Burton Drive ,Sutton,26601,"200 Jerry Burton Drive , Sutton, WV, 26601","-80.66719069999999, 38.6958124"
Braxton,Sutton Elementary School,288 N Hill Road ,Sutton,26601,"288 N Hill Road , Sutton, WV, 26601","-80.7074118, 38.6673006"
Braxton,Frametown Elementary School,Hc 61 Box 14 ,Frametown,26623,"Hc 61 Box 14 , Frametown, WV, 26623","-80.853968, 38.638059"
Braxton,Davis Elementary School,113 Fifth Street ,Gassaway,26624,"113 Fifth Street , Gassaway, WV, 26624","-80.774655, 38.671378"
Brooke,Wellsburg Middle School,1447 Main Street ,Wellsburg,26070,"1447 Main Street , Wellsburg, WV, 26070","-80.611811, 40.277456"
Brooke,Wellsburg Primary School,1448 Main Street ,Wellsburg,26070,"1448 Main Street , Wellsburg, WV, 26070","-80.6105096, 40.278004"
Brooke,Jefferson Primary School,Jefferson Street ,Follansbee,26037,"Jefferson Street , Follansbee, WV, 26037","-80.594312, 40.329752"
Brooke,Franklin Primary School,1305 Washington Pike ,Wellsburg,26070,"1305 Washington Pike , Wellsburg, WV, 26070","-80.53826, 40.2725069"
Brooke,Beech Bottom Primary,High Street ,Beech Bottom,26030,"High Street , Beech Bottom, WV, 26030","-80.6516039, 40.225851"
Brooke,Brooke High School,"R.d. 3, Box 610 Cross Creek Road",Wellsburg,26070,"R.d. 3, Box 610 Cross Creek Road, Wellsburg, WV, 26070",
Brooke,Follansbee Middle School,1400 Main Street ,Follansbee,26037,"1400 Main Street , Follansbee, WV, 26037","-80.5953079, 40.3355161"
Brooke,Lauretta B Millsop Primary School,Legion & Swearingen ,Weirton,26062,"Legion & Swearingen , Weirton, WV, 26062","-80.6118381, 40.3953038"
Brooke,Hooverson Heights Primary School,200 Rockdale Road ,Follansbee,26037,"200 Rockdale Road , Follansbee, WV, 26037","-80.577852, 40.324597"
Brooke,Colliers Primary School,Penn Street ,Colliers,26035,"Penn Street , Colliers, WV, 26035","-80.53747229999999, 40.3663856"
Cabell,Cabell County Career Technology Center,1035 Norway Ave ,Huntington,25705,"1035 Norway Ave , Huntington, WV, 25705","-82.3722257, 38.4032754"
Cabell,Village Of Barboursville Elementary Sch,718 Central Ave ,Barboursville,25504,"718 Central Ave , Barboursville, WV, 25504","-82.296893, 38.407411"
Cabell,Highlawn Elementary School,2549 1st Avenue ,Huntington,25703,"2549 1st Avenue , Huntington, WV, 25703","-82.4111944, 38.4300068"
Cabell,Huntington High School,1 Highlander Way ,Huntington,25701,"1 Highlander Way , Huntington, WV, 25701","-82.39857429999999, 38.3936242"
Cabell,Spring Hill Elementary School,1901 Hall Avenue ,Huntington,25701,"1901 Hall Avenue , Huntington, WV, 25701","-82.4203404, 38.4121254"
Cabell,Geneva Kent Elementary School,68 Holley Avenue ,Huntington,25705,"68 Holley Avenue , Huntington, WV, 25705","-82.38715309999999, 38.4031628"
Cabell,Alternative School,2800 5th Ave ,Huntington,25702,"2800 5th Ave , Huntington, WV, 25702","-82.4020243, 38.4266393"
Cabell,Peyton Elementary School,199 Rotary Rd ,Huntington,25705,"199 Rotary Rd , Huntington, WV, 25705","-82.399326, 38.413612"
Cabell,Culloden Elementary School,2100 U.s. Route 60 ,Culloden,25510,"2100 U.s. Route 60 , Culloden, WV, 25510","-82.06179999999999, 38.4194869"
Cabell,Milton Middle School,1 Panther Trail ,Milton,25541,"1 Panther Trail , Milton, WV, 25541","-82.15105, 38.4373515"
Cabell,Nichols Elementary School,3505 Erwin Road ,Barboursville,25504,"3505 Erwin Road , Barboursville, WV, 25504","-82.25429299999999, 38.41907399999999"
Cabell,Altizer Elementary School,"250 Third Street, Altizer ",Huntington,25705,"250 Third Street, Altizer , Huntington, WV, 25705","-82.36421299999999, 38.41531"
Cabell,Beverly Hills Middle School,2901 Saltwell Rd ,Huntington,25705,"2901 Saltwell Rd , Huntington, WV, 25705","-82.391392, 38.407296"
Cabell,Meadows Elementary School,1601 Washington Blvd ,Huntington,25701,"1601 Washington Blvd , Huntington, WV, 25701","-82.4272414, 38.4040281"
Cabell,Southside Elementary,200 Tenth Avenue ,Huntington,25701,"200 Tenth Avenue , Huntington, WV, 25701","-82.4528441, 38.4108658"
Cabell,Hite Saunders Elementary School,3708 Green Valley Road ,Huntington,25701,"3708 Green Valley Road , Huntington, WV, 25701","-82.37721599999999, 38.382375"
Cabell,Cabell County Career Technology Center,1035 Norway Ave ,Huntington,25705,"1035 Norway Ave , Huntington, WV, 25705","-82.3722257, 38.4032754"
Cabell,Central City Elementary School,2100 Washington Ave ,Huntington,25704,"2100 Washington Ave , Huntington, WV, 25704","-82.49075810000001, 38.4104518"
Cabell,Guyandotte Elementary School,607 5th Ave Guy ,Huntington,25702,"607 5th Ave Guy , Huntington, WV, 25702",
Cabell,Cabell Midland High School,2300 Us Route 60 East ,Ona,25545,"2300 Us Route 60 East , Ona, WV, 25545","-82.20874479999999, 38.4287096"
Cabell,Salt Rock Elementary School,5570 Madison Creek Rd ,Salt Rock,25559,"5570 Madison Creek Rd , Salt Rock, WV, 25559","-82.2210593, 38.3208479"
Cabell,Huntington East Middle School,2901 Saltwell Rd,Huntington,25705,"2901 Saltwell Rd, Huntington, WV, 25705","-82.391392, 38.407296"
Cabell,Davis Creek Elementary School,6330 Davis Creek Rd ,Barboursville,25504,"6330 Davis Creek Rd , Barboursville, WV, 25504","-82.33237, 38.38570800000001"
Cabell,Explorer Academy,68 Holley Ave,Huntington,25705,"68 Holley Ave, Huntington, WV, 25705","-82.38715309999999, 38.4031628"
Cabell,Huntington Middle School,925 Third Street ,Huntington,25701,"925 Third Street , Huntington, WV, 25701","-82.45287789999999, 38.4111169"
Cabell,Ona Elementary School,2701 Elementary Dr ,Ona,25545,"2701 Elementary Dr , Ona, WV, 25545","-82.2158561, 38.42558349999999"
Cabell,Cox Landing Elementary School,6358 Cox Lane ,Lesage,25537,"6358 Cox Lane , Lesage, WV, 25537","-82.30640749999999, 38.4773629"
Cabell,Enslow Middle School,2613 Collis Ave ,Huntington,25702,"2613 Collis Ave , Huntington, WV, 25702","-82.4091638, 38.4291151"
Cabell,Milton Elementary School,1201 Pike St. ,Milton,25541,"1201 Pike St. , Milton, WV, 25541","-82.13456, 38.4368405"
Cabell,Barboursville Middle School,1400 Central Ave ,Barboursville,25504,"1400 Central Ave , Barboursville, WV, 25504","-82.294518, 38.403337"
Cabell,Martha Elementary School,3067 Martha Road ,Barboursville,25504,"3067 Martha Road , Barboursville, WV, 25504","-82.286162, 38.379285"
Calhoun,Pleasant Hill School,3254 N Calhoun Hwy ,Grantsville,26147,"3254 N Calhoun Hwy , Grantsville, WV, 26147","-81.0592741, 38.9498905"
Calhoun,Calhoun Middle/High School,50 Underwood Circle ,Mt. Zion,26151,"50 Underwood Circle , Mt. Zion, WV, 26151","-81.1129632, 38.8376242"
Calhoun,Arnoldsburg School,Post Office Box 159 ,Arnoldsburg,25234,"Post Office Box 159 , Arnoldsburg, WV, 25234","-81.1286808, 38.7893803"
Calhoun,Calhoun-Gilmer Career Center,5260 E Little Kanawha Hwy,Grantsville,26147,"5260 E Little Kanawha Hwy, Grantsville, WV, 26147","-81.0959455, 38.9234195"
Clay,Clay County High School,Po Box 729 1 Panther Drive,Clay,25043,"Po Box 729 1 Panther Drive, Clay, WV, 25043","-81.09237639999999, 38.4460987"
Clay,Big Otter Elementary School,Po Box 100 59 Ossia Road,Ivydale,25113,"Po Box 100 59 Ossia Road, Ivydale, WV, 25113","-81.0343194, 38.5869375"
Clay,Lizemore Elementary School,Po Box 70 #1 Lizemore Street,Lizemore,25125,"Po Box 70 #1 Lizemore Street, Lizemore, WV, 25125","-81.1791452, 38.3306638"
Clay,Clay Middle School,Po Box 489 419 Church Street,Clay,25043,"Po Box 489 419 Church Street, Clay, WV, 25043","-81.08316769999999, 38.460473"
Clay,H E White Elementary School,501 Bomont Road ,Bomont,25030,"501 Bomont Road , Bomont, WV, 25030","-81.23006749999999, 38.446661"
Clay,Clay Elementary School,Po Box 600 219 Church Street,Clay,25043,"Po Box 600 219 Church Street, Clay, WV, 25043","-81.0836987, 38.460489"
Doddridge,Doddridge County Preschool Center,2945 Smithton Road,West Union,26426,"2945 Smithton Road, West Union, WV, 26426","-80.755513, 39.3003339"
Doddridge,Doddridge County High School,79 Bulldog Drive ,West Union,26456,"79 Bulldog Drive , West Union, WV, 26456","-80.7857567, 39.2771531"
Doddridge,Doddridge County Elementary School,182 Doddridge School Road,West Union,26456,"182 Doddridge School Road, West Union, WV, 26456","-80.7735429, 39.29271"
Doddridge,Doddridge County Middle School,65 Doddridge School Road,West Union,26456,"65 Doddridge School Road, West Union, WV, 26456","-80.77487289999999, 39.2924959"
Fayette,Meadow Bridge Elementary,2725 Main Street ,Meadow Bridge,25976,"2725 Main Street , Meadow Bridge, WV, 25976","-80.8600282, 37.866317"
Fayette,Midland Trail High,Po Box 89 Rt 60-E,Hico,25854,"Po Box 89 Rt 60-E, Hico, WV, 25854","-80.9688239, 38.1107386"
Fayette,Gatewood Elementary,5094 Gatewood Road ,Fayetteville,25840,"5094 Gatewood Road , Fayetteville, WV, 25840","-81.065429, 38.006748"
Fayette,Fayetteville High,515 West Maple Avenue ,Fayetteville,25840,"515 West Maple Avenue , Fayetteville, WV, 25840","-81.1131642, 38.0467048"
Fayette,Divide Elementary,Po Box 180 ,Lookout,25868,"Po Box 180 , Lookout, WV, 25868",
Fayette,Ansted Middle,Po Box 766 ,Ansted,25812,"Po Box 766 , Ansted, WV, 25812",
Fayette,Valley Elementary,Po Box 215 ,Smithers,25186,"Po Box 215 , Smithers, WV, 25186",
Fayette,Fayette Institute Of Technology,300 West Oyler Avenue ,Oak Hill,25901,"300 West Oyler Avenue , Oak Hill, WV, 25901","-81.14692509999999, 37.9888198"
Fayette,Mount Hope Elementary,408 Lincoln Street ,Mount Hope,25880,"408 Lincoln Street , Mount Hope, WV, 25880","-81.1632868, 37.8942657"
Fayette,Oak Hill High,350 West Oyler Avenue ,Oak Hill,25901,"350 West Oyler Avenue , Oak Hill, WV, 25901","-81.14838979999999, 37.9911471"
Fayette,Gauley Bridge Elementary,Po Box 519 ,Gauley Bridge,25085,"Po Box 519 , Gauley Bridge, WV, 25085",
Fayette,Meadow Bridge High,2775 Main Street ,Meadow Bridge,25976,"2775 Main Street , Meadow Bridge, WV, 25976","-80.8600685, 37.8663527"
Fayette,Fayetteville Elementary,200 Wiseman Avenue ,Fayetteville,25840,"200 Wiseman Avenue , Fayetteville, WV, 25840","-81.1052421, 38.0525436"
Fayette,Collins Middle,601 Jones Avenue ,Oak Hill,25901,"601 Jones Avenue , Oak Hill, WV, 25901","-81.1579053, 37.9738781"
Fayette,Ansted Elementary,Po Box 609 ,Ansted,25812,"Po Box 609 , Ansted, WV, 25812","-81.09954789999999, 38.1362201"
Fayette,New River Elementary,262 Oyler Avenue ,Oak Hill,25901,"262 Oyler Avenue , Oak Hill, WV, 25901","-81.142077, 37.98552"
Fayette,Rosedale Elementary,4001 Summerlee Rd ,Oak Hill,25901,"4001 Summerlee Rd , Oak Hill, WV, 25901","-81.1335433, 37.9995935"
Fayette,Valley High School,Po Box 459 Greyhound Lane,Smithers,25186,"Po Box 459 Greyhound Lane, Smithers, WV, 25186",
Gilmer,Calhoun-Gilmer Career Center,5260 East Little Kanawha Hwy,Grantsville,26147,"5260 East Little Kanawha Hwy, Grantsville, WV, 26147",
Gilmer,Gilmer County Elementary School,99 Fairground Road,Glenville,26351,"99 Fairground Road, Glenville, WV, 26351","-80.81851309999999, 38.9374884"
Gilmer,Gilmer County High School,300 Pine Street ,Glenville,26351,"300 Pine Street , Glenville, WV, 26351","-80.8342108, 38.9388632"
Grant,Petersburg High School,207 Jefferson Avenue ,Petersburg,26847,"207 Jefferson Avenue , Petersburg, WV, 26847","-79.12042559999999, 38.9981669"
Grant,Maysville Elementary School,7147 Highway 42s ,Maysville,26833,"7147 Highway 42s , Maysville, WV, 26833","-79.1780876, 39.1226596"
Grant,Union Educational Complex,Hc 76 Box 750 ,Mount Storm,26839,"Hc 76 Box 750 , Mount Storm, WV, 26839",
Grant,South Branch Career & Technical Center,401 Pierpont Street ,Petersburg,26847,"401 Pierpont Street , Petersburg, WV, 26847","-79.12039899999999, 39.000801"
Grant,Petersburg Elementary School,333 Rig Street ,Petersburg,26847,"333 Rig Street , Petersburg, WV, 26847","-79.1164019, 39.0013999"
Grant,Dorcas Elementary School,Hc 33 Box 1060 ,Petersburg,26847,"Hc 33 Box 1060 , Petersburg, WV, 26847","-79.1059444, 38.9395833"
Greenbrier,Ronceverte Elementary,246 Ronceverte Elementary School Drive,Ronceverte,24970,"246 Ronceverte Elementary School Drive, Ronceverte, WV, 24970","-80.4756314, 37.7627578"
Greenbrier,Frankford Elementary,21692 Seneca Trail ,Frankford,24938,"21692 Seneca Trail , Frankford, WV, 24938","-80.38476039999999, 37.9721875"
Greenbrier,Smoot Elementary,General Delivery ,Smoot,24977,"General Delivery , Smoot, WV, 24977",
Greenbrier,Greenbrier West High School,Po Box 325 One Cavalier Drive,Charmco,25958,"Po Box 325 One Cavalier Drive, Charmco, WV, 25958","-80.7329419, 38.0030774"
Greenbrier,Rainelle Elementary,701 Kanawha Avenue ,Rainelle,25962,"701 Kanawha Avenue , Rainelle, WV, 25962","-80.7801418, 37.9685215"
Greenbrier,Western Greenbrier Middle School,Hc 40 Box 14 ,Crawley,24931,"Hc 40 Box 14 , Crawley, WV, 24931",
Greenbrier,White Sulphur Elementary,150 Reed Street ,White Sulphur Springs,24986,"150 Reed Street , White Sulphur Springs, WV, 24986","-80.2952394, 37.7946857"
Greenbrier,Lewisburg Elementary,206 North Lee Street ,Lewisburg,24901,"206 North Lee Street , Lewisburg, WV, 24901","-80.4415078, 37.8011158"
Greenbrier,Alderson Elementary,Rr1 Box 162f ,Alderson,24910,"Rr1 Box 162f , Alderson, WV, 24910",
Greenbrier,Greenbrier School Of Practical Nursing,One Spartan Lane ,Lewisburg,24901,"One Spartan Lane , Lewisburg, WV, 24901","-80.470457, 37.7758556"
Greenbrier,Rupert Elementary,Po Drawer D ,Rupert,25984,"Po Drawer D , Rupert, WV, 25984","-80.6869167, 37.965"
Greenbrier,Greenbrier East High School,One Spartan Lane ,Lewisburg,24901,"One Spartan Lane , Lewisburg, WV, 24901","-80.470457, 37.7758556"
Greenbrier,Crichton Elementary,Po Box 205 ,Quinwood,25981,"Po Box 205 , Quinwood, WV, 25981","-80.7325287, 38.0664173"
Greenbrier,Eastern Greenbrier Middle School,Route 1 Box 150 ,Ronceverte,24970,"Route 1 Box 150 , Ronceverte, WV, 24970",
Hampshire,Hampshire Senior High School,"Hc 63, Box 1970 ",Romney,26757,"Hc 63, Box 1970 , Romney, WV, 26757",
Hampshire,Capon Bridge Middle School,"Hc 71, Box 1001 ",Capon Bridge,26711,"Hc 71, Box 1001 , Capon Bridge, WV, 26711",
Hampshire,Springfield-Green Spring Elementary School,Hc 65 Box 9000 ,Springfield,26763,"Hc 65 Box 9000 , Springfield, WV, 26763",
Hampshire,Romney Elementary School,45 School Street ,Romney,26757,"45 School Street , Romney, WV, 26757","-78.76463820000001, 39.3435028"
Hampshire,Augusta Elementary School,Po Box 910 ,Augusta,26704,"Po Box 910 , Augusta, WV, 26704","-78.6391041, 39.29524079999999"
Hampshire,Hampshire County Career Training Center,Hc 63 Box 1970 ,Romney,26757,"Hc 63 Box 1970 , Romney, WV, 26757",
Hampshire,Romney Middle School,"Hc 63, Box 1975 ",Romney,26757,"Hc 63, Box 1975 , Romney, WV, 26757","-78.746453, 39.335391"
Hampshire,Capon Bridge Elementary School,"Hc 71, Box 1000 ",Capon Bridge,26711,"Hc 71, Box 1000 , Capon Bridge, WV, 26711",
Hampshire,Slanesville Elementary School,P.o. Box 308 ,Slanesville,25444,"P.o. Box 308 , Slanesville, WV, 25444","-78.52633050000001, 39.4281739"
Hampshire,John J. Cornwell,"Hc 60, Box 72 ",Levels,25431,"Hc 60, Box 72 , Levels, WV, 25431",
Hancock,Weir Middle School,125 Sinclair Avenue ,Weirton,26062,"125 Sinclair Avenue , Weirton, WV, 26062","-80.5753514, 40.4060847"
Hancock,Weirton Elementary,3428 Pennsylvania Ave,Weirton,26062,"3428 Pennsylvania Ave, Weirton, WV, 26062","-80.53370439999999, 40.4086851"
Hancock,Weirton Heights Elementary School,160 South 12th Street ,Weirton,26062,"160 South 12th Street , Weirton, WV, 26062","-80.5710948, 40.418015"
Hancock,Liberty Elementary School,200 Culler Road ,Weirton,26062,"200 Culler Road , Weirton, WV, 26062","-80.543061, 40.4166389"
Hancock,Weir High School,100 Red Rider Road ,Weirton,26062,"100 Red Rider Road , Weirton, WV, 26062","-80.57708699999999, 40.4052795"
Hancock,Oak Glen Middle School,39 Golden Bear Drive ,New Cumberland,26047,"39 Golden Bear Drive , New Cumberland, WV, 26047","-80.5599587, 40.5444746"
Hancock,A. T. Allison Elementary School,600 Railroad Street ,Chester,26034,"600 Railroad Street , Chester, WV, 26034","-80.56128540000002, 40.6157365"
Hancock,New Manchester Elementary School,128 Frankfort Road ,New Cumberland,26047,"128 Frankfort Road , New Cumberland, WV, 26047","-80.576799, 40.5290139"
Hancock,Broadview Elementary School,189 Circle Drive ,Weirton,26062,"189 Circle Drive , Weirton, WV, 26062","-80.5252366, 40.4134553"
Hancock,John D. Rockefeller Career Center,95 Rockyside Road ,New Cumberland,26047,"95 Rockyside Road , New Cumberland, WV, 26047",
Hancock,Oak Glen High School,195 Golden Bear Drive ,New Cumberland,26047,"195 Golden Bear Drive , New Cumberland, WV, 26047","-80.55907499999999, 40.543326"
Hardy,Moorefield Intermediate School,345 Caledonia Heights Road ,Moorefield,26836,"345 Caledonia Heights Road , Moorefield, WV, 26836","-78.9437178, 39.06905709999999"
Hardy,Moorefield Elementary School,400 North Main Street ,Moorefield,26836,"400 North Main Street , Moorefield, WV, 26836","-78.97308819999999, 39.0533213"
Hardy,Moorefield High School,401 North Main Street ,Moorefield,26836,"401 North Main Street , Moorefield, WV, 26836","-78.9688414, 39.0678067"
