"type","county","name","address","city","zip","zip4","phone","fax","url","grades"
"PUBLIC","Brooke","Wellsburg Middle School","1447 Main Street ","Wellsburg","26070","","7372922","7372976","http://wms.broo.k12.wv.us","0508"
"PUBLIC","Brooke","Wellsburg Primary School","1448 Main Street ","Wellsburg","26070","","7370133","7370463","http://bhs.broo.k12.wv.us/Schools/Wellsburg Primary/index.htm","PK04"
"PUBLIC","Brooke","Jefferson Primary School","Jefferson Street ","Follansbee","26037","","5272250","5272014","http://bhs.broo.k12.wv.us/Schools/Jefferson Primary/index.htm","PK04"
"PUBLIC","Brooke","Franklin Primary School","1305 Washington Pike ","Wellsburg","26070","","7371760","7371760","http://bhs.broo.k12.wv.us/Schools/Franklin Primary/index.htm","0K04"
"PUBLIC","Brooke","Beech Bottom Primary","High Street ","Beech Bottom","26030","","3945341","3945342","http://bhs.broo.k12.wv.us/Schools/Beech Bottom Primary/index.htm","PK04"
"PUBLIC","Brooke","Brooke High School","R.d. 3, Box 610 Cross Creek Road","Wellsburg","26070","","5271410","5273604","http://bhs.broo.k12.wv.us/","PK12"
"PUBLIC","Brooke","Follansbee Middle School","1400 Main Street ","Follansbee","26037","","5271942","5271954","http://bhs.broo.k12.wv.us/Schools/Follansbee Middle School/index.","0508"
"PUBLIC","Brooke","Lauretta B Millsop Primary School","Legion & Swearingen ","Weirton","26062","","7487760","7488470","http://bhs.broo.k12.wv.us/Schools/Millsop Primary/index.htm","0K04"
"PUBLIC","Brooke","Hooverson Heights Primary School","200 Rockdale Road ","Follansbee","26037","","5270870","5272440","http://bhs.broo.k12.wv.us/Schools/Hooverson Heights Primary/index","0K04"
"PUBLIC","Brooke","Colliers Primary School","Penn Street ","Colliers","26035","","7488188","7977242","http://bhs.broo.k12.wv.us/Schools/Colliers Primary/index.htm","PK04"
"ADMINISTRATIVE","Brooke","Brooke County Schools","1201 Pleasant Avenue ","Wellsburg","26070","","7373481","7373480","http://Brooke.schoolwires.net",""
"PUBLIC","Cabell","Cabell County Career Technology Center","1035 Norway Ave ","Huntington","25705","","5285172","5285110","",""
"PUBLIC","Cabell","Village Of Barboursville Elementary Sch","718 Central Ave ","Barboursville","25504","","7333035","7333036","http://vbe.cabellschools.com/","PK05"
"PUBLIC","Cabell","Highlawn Elementary School","2549 1st Avenue ","Huntington","25703","","5285130","5285152","http://hes.cabellschools.com/","PK05"
"PUBLIC","Cabell","Huntington High School","1 Highlander Way ","Huntington","25701","","5286400","5286422","http://hhs.cabellschools.com/","0912"
"PUBLIC","Cabell","Spring Hill Elementary School","1901 Hall Avenue ","Huntington","25701","","5285175","5285177","http://she.cabellschools.com/","PK05"
"PUBLIC","Cabell","Geneva Kent Elementary School","68 Holley Avenue ","Huntington","25705","","5285126","5285150","http://boe.cabe.k12.wv.us/genevake/","PK05"
"NON-PUBLIC","Cabell","St. Joseph Grade School","520 13th St ","Huntington","25701","","5222644","","",""
"PUBLIC","Cabell","Alternative School","2800 5th Ave ","Huntington","25702","","5285060","","http://as.cabellschools.com/","0712"
"PUBLIC","Cabell","Peyton Elementary School","199 Rotary Rd ","Huntington","25705","","5285173","5285195","http://boe.cabe.k12.wv.us/peyton/","PK05"
"PUBLIC","Cabell","Culloden Elementary School","2100 U.s. Route 60 ","Culloden","25510","","7437301","7437306","http://ce.cabellschools.com/","PK05"
"NON-PUBLIC","Cabell","Covenant School","5800 E Us Rt 60 ","Huntington","25705","","","","http://www.covenantschoolwv.org",""
"PUBLIC","Cabell","Milton Middle School","1 Panther Trail ","Milton","25541","","7437308","7437324","http://mms.cabellschools.com/","0608"
"PUBLIC","Cabell","Nichols Elementary School","3505 Erwin Road ","Barboursville","25504","","7333031","7333054","http://nes.cabellschools.com/","PK05"
"PUBLIC","Cabell","Altizer Elementary School","250 Third Street, Altizer ","Huntington","25705","","5285100","5285148","http://ae.cabellschools.com/","PK05"
"NON-PUBLIC","Cabell","Pressley Ridge School","2580 Grant Garden Rd ","Ona","25545","","7434439","","",""
"PUBLIC","Cabell","Beverly Hills Middle School","2901 Saltwell Rd ","Huntington","25705","","5285102","5285197","http://boe.cabe.k12.wv.us/bhms/","0608"
"PUBLIC","Cabell","Meadows Elementary School","1601 Washington Blvd ","Huntington","25701","","5285166","5285153","http://meadows.cabellschools.com/","PK05"
"NON-PUBLIC","Cabell","Mountain State Christian School","1948 Martin Ln ","Culloden","25510","","7433751","","http://www.mscspanthers.org/",""
"PUBLIC","Cabell","Southside Elementary","200 Tenth Avenue ","Huntington","25701","","5285168","5285154","http://sse.cabellschools.com/","PK05"
"PUBLIC","Cabell","Hite Saunders Elementary School","3708 Green Valley Road ","Huntington","25701","","5285132","5285038","http://hses.cabellschools.com/","PK05"
"PUBLIC","Cabell","Cabell County Career Technology Center","1035 Norway Ave ","Huntington","25705","","5285172","5285110","http://ctc.cabellschools.com/",""
"PUBLIC","Cabell","Central City Elementary School","2100 Washington Ave ","Huntington","25704","","5285231","5285245","http://cce.cabellschools.com/","PK05"
"PUBLIC","Cabell","Guyandotte Elementary School","607 5th Ave Guy ","Huntington","25702","","5285128","5285151","http://ges.cabellschools.com/","PK05"
"NON-PUBLIC","Cabell","Our Lady Of Fatima","535 Norway Ave ","Huntington","25705","","5232861","","http://www.ourfatimafamily.com",""
"PUBLIC","Cabell","Cabell Midland High School","2300 Us Route 60 East ","Ona","25545","","7437400","7437577","http://cmhs.cabellschools.com/","0912"
"PUBLIC","Cabell","Salt Rock Elementary School","5570 Madison Creek Rd ","Salt Rock","25559","","7333037","7333060","http://sre.cabellschools.com/","PK05"
"PUBLIC","Cabell","Huntington East Middle School","2901 Saltwell Rd","Huntington","25705","","5289508","","http://hems.cabellschools.com/",""
"PUBLIC","Cabell","Davis Creek Elementary School","6330 Davis Creek Rd ","Barboursville","25504","","7333024","7333049","http://dce.cabellschools.com/","PK05"
"NON-PUBLIC","Cabell","St. Joseph Central Catholic High School","600 13th St ","Huntington","25701","","5255096","","http://www.stjosephhs.org",""
"PUBLIC","Cabell","Explorer Academy","68 Holley Ave","Huntington","25705","","5285126","5285150","http://ea.cabellschools.com/",""
"PUBLIC","Cabell","Huntington Middle School","925 Third Street ","Huntington","25701","","5285180","5285215","http://hms.cabellschools.com/","0608"
"PUBLIC","Cabell","Ona Elementary School","2701 Elementary Dr ","Ona","25545","","7437318","7437321","http://oes.cabellschools.com/","PK05"
"PUBLIC","Cabell","Cox Landing Elementary School","6358 Cox Lane ","Lesage","25537","","7333019","7333021","http://cle.cabellschools.com/","PK05"
"NON-PUBLIC","Cabell","Grace Christian School","1111 Adams Ave ","Huntington","25704","","5228635","","",""
"PUBLIC","Cabell","Enslow Middle School","2613 Collis Ave ","Huntington","25702","","5285121","5285097","http://boe.cabe.k12.wv.us/ems/","0609"
"PUBLIC","Cabell","Milton Elementary School","1201 Pike St. ","Milton","25541","","7437303","7437307","http://milton.cabellschools.com/","PK05"
"ADMINISTRATIVE","Cabell","Cabell County Schools","PO Box 446","Huntington","25702","","5285000","5285080","http://boe.cabe.k12.wv.us/",""
"NON-PUBLIC","Cabell","Cammack Children's Center","64 6th Ave W ","Huntington","25701","","5233497","","",""
"PUBLIC","Cabell","Barboursville Middle School","1400 Central Ave ","Barboursville","25504","","7333003","7333009","http://bms.cabellschools.com/","0608"
"PUBLIC","Cabell","Martha Elementary School","3067 Martha Road ","Barboursville","25504","","7333027","7333016","http://mes.cabellschools.com/","PK05"
"PUBLIC","Calhoun","Pleasant Hill School","3254 N Calhoun Hwy ","Grantsville","26147","7012","3546022","3546070","http://pleasanthill.calh.k12.wv.us","PK04"
"ADMINISTRATIVE","Calhoun","Calhoun County Schools","540 Alan B. Mollohan Dr.","Mt. Zion","26151","","3547011","3547420","http://www.edline.net/pages/Calhoun_CSD",""
"PUBLIC","Calhoun","Calhoun Middle/High School","50 Underwood Circle ","Mt. Zion","26151","","3546148","3547382","http://www.edline.net/pages/Calhoun_County_Middle_School","0512"
"PUBLIC","Calhoun","Arnoldsburg School","Post Office Box 159 ","Arnoldsburg","25234","","6558616","6558618","http://arnoldsburg.calh.k12.wv.us","PK04"
"PUBLIC","Calhoun","Calhoun-Gilmer Career Center","5260 E Little Kanawha Hwy","Grantsville","26147","","3546151","3546154","https://www.edline.net/pages/Calhoun_Gilmer_Center",""
"PUBLIC","Clay","Clay County High School","Po Box 729 1 Panther Drive","Clay","25043","","5874226","5872723","http://www.claycountyhighschool.org","0912"
"PUBLIC","Clay","Big Otter Elementary School","Po Box 100 59 Ossia Road","Ivydale","25113","","2863111","2863112","","PK05"
"PUBLIC","Clay","Lizemore Elementary School","Po Box 70 #1 Lizemore Street","Lizemore","25125","70","5874823","5872772","http://www.claycountyschools.org/Lizemore.htm","PK05"
"ADMINISTRATIVE","Clay","Clay County Schools","PO Box 120","Clay","25043","","5874266","5874181","http://claycountyschools.org",""
"NON-PUBLIC","Clay","Clay Christian Academy","P.o. Box 849 ","Clay","25043","","5872786","","",""
"PUBLIC","Clay","Clay Middle School","Po Box 489 419 Church Street","Clay","25043","","5872343","5872759","http://www.claycountyschools.org/CCMS.htm","0608"
"PUBLIC","Clay","H E White Elementary School","501 Bomont Road ","Bomont","25030","","5487101","5487101","http://www.claycountyschools.org/HE%20White.htm","PK05"
"PUBLIC","Clay","Clay Elementary School","Po Box 600 219 Church Street","Clay","25043","","5874276","5874279","http://www.claycountyschools.org/CES.htm","PK05"
"ADMINISTRATIVE","Doddridge","Doddridge County Schools","1117 WV RT 18N","West Union","26456","","8732300","8732210","http://www.dcschools.us",""
"PUBLIC","Doddridge","Doddridge County Preschool Center","2945 Smithton Road","West Union","26426","","8733955","8733956","http://www.dcschools.us/doddridgecountypreschool_home.aspx",""
"PUBLIC","Doddridge","Doddridge County High School","79 Bulldog Drive ","West Union","26456","","8732521","8731873","http://www.dcschools.us/doddridgecountyhighschool_home.aspx","0912"
"PUBLIC","Doddridge","Doddridge County Elementary School","182 Doddridge School Road","West Union","26456","","8733294","8733297","http://www.dcschools.us/doddridgecountyelementaryschool_home.aspx","PK04"
"NON-PUBLIC","Doddridge","Mountain State Academy","Rr 2 Box 193-2 ","Salem","26426","","7821531","7823800","",""
"PUBLIC","Doddridge","Doddridge County Middle School","65 Doddridge School Road","West Union","26456","","8732390","8732541","http://www.dcschools.us/doddridgecountymiddleschool_home.aspx","0508"
"PUBLIC","Fayette","Meadow Bridge Elementary","2725 Main Street ","Meadow Bridge","25976","","4847914","4847599","http://meadowbridge.faye.k12.wv.us/","PK06"
"PUBLIC","Fayette","Midland Trail High","Po Box 89 Rt 60-E","Hico","25854","","6585184","6585185","http://mths.faye.k12.wv.us/","0912"
"PUBLIC","Fayette","Gatewood Elementary","5094 Gatewood Road ","Fayetteville","25840","","5742025","","http://gatewood.faye.k12.wv.us/","PK04"
"PUBLIC","Fayette","Fayetteville High","515 West Maple Avenue ","Fayetteville","25840","","5740560","5740118","http://fhs.faye.k12.wv.us","0712"
"PUBLIC","Fayette","Divide Elementary","Po Box 180 ","Lookout","25868","","5741443","5740693","http://divide.faye.k12.wv.us/","PK05"
"NON-PUBLIC","Fayette","Saints Peter & Paul Elementary School","123 Elmore Street ","Oak Hill","25901","","4655045","","",""
"PUBLIC","Fayette","Ansted Middle","Po Box 766 ","Ansted","25812","","6585170","","http://ams.faye.k12.wv.us/","0608"
"ADMINISTRATIVE","Fayette","Fayette County Schools","111 Fayette Avenue ","Fayetteville","25840","1299","5741176","5743643","http://boe.faye.k12.wv.us/",""
"NON-PUBLIC","Fayette","Mountain View Christian School","Po Box 1246 ","Oak Hill","25901","","4650502","","",""
"PUBLIC","Fayette","Valley Elementary","Po Box 215 ","Smithers","25186","","4422321","4422337","","PK05"
"PUBLIC","Fayette","Fayette Institute Of Technology","300 West Oyler Avenue ","Oak Hill","25901","","4692911","4696963","http://fit.faye.tec.wv.us/",""
"PUBLIC","Fayette","Mount Hope Elementary","408 Lincoln Street ","Mount Hope","25880","","8772891","8776105","http://mounthope.faye.k12.wv.us/","PK05"
"PUBLIC","Fayette","Oak Hill High","350 West Oyler Avenue ","Oak Hill","25901","","4693551","4651769","http://ohhs.faye.k12.wv.us","0912"
"PUBLIC","Fayette","Gauley Bridge Elementary","Po Box 519 ","Gauley Bridge","25085","","6322661","","http://gauleybridge.faye.k12.wv.us/","PK05"
"PUBLIC","Fayette","Meadow Bridge High","2775 Main Street ","Meadow Bridge","25976","","4847917","","http://www.geocities.com/Athens/Academy/5856/","0712"
"PUBLIC","Fayette","Fayetteville Elementary","200 Wiseman Avenue ","Fayetteville","25840","","5741011","5741011","http://fayetteville.faye.k12.wv.us/","PK06"
"PUBLIC","Fayette","Collins Middle","601 Jones Avenue ","Oak Hill","25901","","4693711","4651352","http://cms.faye.k12.wv.us/","0508"
"PUBLIC","Fayette","Ansted Elementary","Po Box 609 ","Ansted","25812","","6585961","","http://ansted.faye.k12.wv.us","PK05"
"NON-PUBLIC","Fayette","Danese Christian School","Po Box 177 ","Danese","25831","","4388116","","",""
"PUBLIC","Fayette","New River Elementary","262 Oyler Avenue ","Oak Hill","25901","","4653806","","","PK04"
"NON-PUBLIC","Fayette","Boomer Christian Academy","Po Box 446 ","Boomer","25031","","4429867","","",""
"PUBLIC","Fayette","Rosedale Elementary","4001 Summerlee Rd ","Oak Hill","25901","","4696661","4693569","http://rosedale.faye.k12.wv.us/","PK04"
"PUBLIC","Fayette","Valley High School","Po Box 459 Greyhound Lane","Smithers","25186","","4428284","4425865","http://vhs.faye.k12.wv.us/","0612"
"ADMINISTRATIVE","Gilmer","Sand Fork Elementary","65 School House Hill , PO Box 260","Sand Fork","26430","","4627605","4625368","http://sandfork.gilmer.k12.wv.us/","PK06"
"ADMINISTRATIVE","Gilmer","Glenville Elementary School","454 Vanhorn Drive ","Glenville","26351","","4627338","4625108","http://glenville.gilmer.k12.wv.us/","PK06"
"PUBLIC","Gilmer","Calhoun-Gilmer Career Center","5260 East Little Kanawha Hwy","Grantsville","26147","","3546151","3546154","http://calhoun-k12.wvnet.edu/careercenter/2015/06/25/2014-2015-faculty-and-staff/",""
"ADMINISTRATIVE","Gilmer","Troy Elementary School","3093 WV Highway 47W ","Troy","26443","","4628655","4625132","http://troy.gilmer.k12.wv.us/","PK06"
"ADMINISTRATIVE","Gilmer","Normantown Elementary","10223 US Highway 33 West","Normantown","25267","","4628035","4625329","http://normantown.gilmer.k12.wv.us/","PK06"
"PUBLIC","Gilmer","Gilmer County Elementary School","99 Fairground Road","Glenville","26351","","4627338","4625108","http://gces.gilmer.k12.wv.us","PK06"
"ADMINISTRATIVE","Gilmer","Gilmer County Schools","454 Vanhorn Drive","Glenville","26351","","4627386","4625103","http://boe.gilmer.k12.wv.us/",""
"PUBLIC","Gilmer","Gilmer County High School","300 Pine Street ","Glenville","26351","","4627960","4628578","http://gchs.gilmer.k12.wv.us","0712"
"NON-PUBLIC","Grant","North Fork Christian","Hc59 Box 217 ","Petersburg","26847","","2579722","","",""
"PUBLIC","Grant","Petersburg High School","207 Jefferson Avenue ","Petersburg","26847","","2571444","2575243","http://petersburghigh.googlepages.com/","0712"
"PUBLIC","Grant","Maysville Elementary School","7147 Highway 42s ","Maysville","26833","","7497441","7497442","http://mww.grantcountyschools.com/grant9/web/","PK06"
"PUBLIC","Grant","Union Educational Complex","Hc 76 Box 750 ","Mount Storm","26839","","6937612","6937150","","PK12"
"NON-PUBLIC","Grant","Potter's House Christian School","1 Veach Street Petersburg, Wv  26847","","0","","2571740","","",""
"PUBLIC","Grant","South Branch Career & Technical Center","401 Pierpont Street ","Petersburg","26847","","2571331","2572270","http://southbranchtech.com",""
"PUBLIC","Grant","Petersburg Elementary School","333 Rig Street ","Petersburg","26847","","2571110","2579658","http://www.grantcountyschools.com/grant5","PK06"
"PUBLIC","Grant","Dorcas Elementary School","Hc 33 Box 1060 ","Petersburg","26847","","2571220","","http://teacherweb.com/WV/DorcasElementary/SchoolHomePage/S","0206"
"ADMINISTRATIVE","Grant","Grant County Schools","204 Jefferson Avenue ","Petersburg","26847","","2571011","","http://www.grantcountyschools.org",""
"NON-PUBLIC","Grant","Bmf Christian School","Hc33 Box 261 Petersburg, Wv  26847","","0","","2579716","","",""
"PUBLIC","Greenbrier","Ronceverte Elementary","246 Ronceverte Elementary School Drive","Ronceverte","24970","","6476480","6473086","http://ronceverte.greenbriercountyschools.org/","PK05"
"NON-PUBLIC","Greenbrier","Seneca Trail Christian Academy","Route 2 Box 269 ","Ronceverte","24970","","6474878","","",""
"PUBLIC","Greenbrier","Frankford Elementary","21692 Seneca Trail ","Frankford","24938","","4972921","4972963","http://fes.greenbriercountyschools.org/","PK05"
"NON-PUBLIC","Greenbrier","Lewisburg Baptist Academy","113 Montvue  Drive ","Lewisburg","24901","","6453797","","",""
"PUBLIC","Greenbrier","Smoot Elementary","General Delivery ","Smoot","24977","","3925295","3922152","http://ses.greenbriercountyschools.org/","PK05"
"PUBLIC","Greenbrier","Greenbrier West High School","Po Box 325 One Cavalier Drive","Charmco","25958","","4386191","4385865","http://gwhs.greenbriercountyschools.org/","0912"
"PUBLIC","Greenbrier","Rainelle Elementary","701 Kanawha Avenue ","Rainelle","25962","","4388861","4388875","http://rainelle.greenbriercountyschools.org/","PK05"
"PUBLIC","Greenbrier","Western Greenbrier Middle School","Hc 40 Box 14 ","Crawley","24931","","3926446","3926785","http://wgms.greenbriercountyschools.org/","0608"
"ADMINISTRATIVE","Greenbrier","Greenbrier County Schools","197 Chestnut Street ","Lewisburg","24901","","6476470","6476490","http://greenbriercountyschools.org/",""
"PUBLIC","Greenbrier","White Sulphur Elementary","150 Reed Street ","White Sulphur Springs","24986","","5362244","5361930","http://wsse.greenbriercountyschools.org/","PK05"
"NON-PUBLIC","Greenbrier","Greenbrier Episcopal School","10 Dry Creek Road ","White Sulphur Springs","24986","","5363636","","",""
"PUBLIC","Greenbrier","Lewisburg Elementary","206 North Lee Street ","Lewisburg","24901","","6476477","6474838","http://les.greenbriercountyschools.org/","PK05"
"NON-PUBLIC","Greenbrier","Renick Christian School","Hc 66 Box 291 ","Renick","24966","","4972581","","",""
"PUBLIC","Greenbrier","Alderson Elementary","Rr1 Box 162f ","Alderson","24910","","4457241","4459718","http://aes.greenbriercountyschools.org/","PK05"
"PUBLIC","Greenbrier","Greenbrier School Of Practical Nursing","One Spartan Lane ","Lewisburg","24901","","6476487","6476487","",""
"PUBLIC","Greenbrier","Rupert Elementary","Po Drawer D ","Rupert","25984","","3925235","3925234","http://rupert.greenbriercountyschools.org/","PK05"
"PUBLIC","Greenbrier","Greenbrier East High School","One Spartan Lane ","Lewisburg","24901","","6476464","6452698","http://gehs.greenbriercountyschools.org/","PK12"
"PUBLIC","Greenbrier","Crichton Elementary","Po Box 205 ","Quinwood","25981","","4386958","4385227","http://ces.greenbriercountyschools.org/","PK05"
"PUBLIC","Greenbrier","Eastern Greenbrier Middle School","Route 1 Box 150 ","Ronceverte","24970","","6476498","6473087","http://egms.greenbriercountyschools.org/","0608"
"NON-PUBLIC","Hampshire","Potomac Diagnostic And Training","Po Drawer H ","Romney","26757","","8223861","","",""
"ADMINISTRATIVE","Hampshire","Hampshire County Schools","111 School Street ","Romney","26757","","8223528","8225382","http://boe.hamp.k12.wv.us",""
"PUBLIC","Hampshire","Hampshire Senior High School","Hc 63, Box 1970 ","Romney","26757","","8225016","8225760","http://hhs.hamp.k12.wv.us/","0912"
"PUBLIC","Hampshire","Capon Bridge Middle School","Hc 71, Box 1001 ","Capon Bridge","26711","","8562534","8563192","","0608"
"PUBLIC","Hampshire","Springfield-Green Spring Elementary School","Hc 65 Box 9000 ","Springfield","26763","","8224317","8224317","","PK05"
"PUBLIC","Hampshire","Romney Elementary School","45 School Street ","Romney","26757","","8223018","8224201","http://boe.hamp.k12.wv.us/index.asp?nid=60","PK05"
"NON-PUBLIC","Hampshire","Maranatha Christian Academy","Hc 65 Box 300 ","Romney","26757","","8223906","","",""
"PUBLIC","Hampshire","Augusta Elementary School","Po Box 910 ","Augusta","26704","","4967001","4967001","","PK05"
"PUBLIC","Hampshire","Hampshire County Career Training Center","Hc 63 Box 1970 ","Romney","26757","","8223979","8223220","",""
"PUBLIC","Hampshire","Romney Middle School","Hc 63, Box 1975 ","Romney","26757","","8225014","8225744","http://rms.hamp.k12.wv.us","0608"
"PUBLIC","Hampshire","Capon Bridge Elementary School","Hc 71, Box 1000 ","Capon Bridge","26711","","8563329","8563329","","PK05"
"PUBLIC","Hampshire","Slanesville Elementary School","P.o. Box 308 ","Slanesville","25444","","4967069","4961139","","PK05"
"NON-PUBLIC","Hampshire","Slanesville Christian School","P O Box 300 ","Slanesville","25444","","4969224","","",""
"PUBLIC","Hampshire","John J. Cornwell","Hc 60, Box 72 ","Levels","25431","","4925520","4925520","","PK05"
"PUBLIC","Hancock","Weir Middle School","125 Sinclair Avenue ","Weirton","26062","3351","7486080","7480847","http://www.edline.net/pages/Weir_Middle_School","0508"
"PUBLIC","Hancock","Weirton Elementary","3428 Pennsylvania Ave","Weirton","26062","","7488370","","",""
"PUBLIC","Hancock","Weirton Heights Elementary School","160 South 12th Street ","Weirton","26062","3398","7481950","7484102","http://www.edline.net/pages/Weirton_Heights_ES","0K04"
"NON-PUBLIC","Hancock","St. Paul School","140 Walnut ","Weirton","26062","","7485225","","",""
"PUBLIC","Hancock","Liberty Elementary School","200 Culler Road ","Weirton","26062","2899","7232818","7233810","http://www.edline.net/pages/Liberty_Elementary_School","PK04"
"NON-PUBLIC","Hancock","St. Joseph School","Park Avenue ","Weirton","26062","","7233961","","",""
"ADMINISTRATIVE","Hancock","Hancock County Schools","PO Box 1300","New Cumberland","26047","1300","5643411","5643990","http://www.hancockschools.org/",""
"PUBLIC","Hancock","Weir High School","100 Red Rider Road ","Weirton","26062","4295","7487600","7487602","http://www.edline.net/pages/Weir_High_School","0912"
"PUBLIC","Hancock","Oak Glen Middle School","39 Golden Bear Drive ","New Cumberland","26047","","3872363","","http://www.edline.net/pages/Oak_Glen_Middle_School","0508"
"PUBLIC","Hancock","A. T. Allison Elementary School","600 Railroad Street ","Chester","26034","","3871915","3872114","http://www.edline.net/pages/Allison_Elementary_School","0K04"
"PUBLIC","Hancock","New Manchester Elementary School","128 Frankfort Road ","New Cumberland","26047","9462","5643242","5645084","http://www.edline.net/pages/New_Manchester_ES","PK04"
"NON-PUBLIC","Hancock","Madonna High School","Park Avenue & Michael Way ","Weirton","26062","","7230564","","http://www.weirtonmadonna.org",""
"PUBLIC","Hancock","Broadview Elementary School","189 Circle Drive ","Weirton","26062","3003","7232525","7231525","http://www.edline.net/pages/Broadview_Elementary_School","PK04"
"PUBLIC","Hancock","John D. Rockefeller Career Center","95 Rockyside Road ","New Cumberland","26047","9802","5643337","5644058","http://www.jdrcc.org/",""
